University Degree,Program,Min Grade,Category,Skills
Art and Human Resources,Public Relations,3,Content Creation,"Storytelling, Visual Content Design, Copywriting, Social Media Strategy, Content Planning and Strategy"
Social Sciences,Psychology,3.5,Clinical Psychology,"Therapeutic Techniques, Psychological Assessment, Diagnosis, Counseling, Mental Health Disorders"
Social Sciences,Psychology,3.5,Cognitive Psychology,"Cognitive Processes, Memory Theory, Problem-Solving, Perception, Decision Making"
Social Sciences,Psychology,3.5,Behavioral Psychology,"Behavior Modification, Operant Conditioning, Cognitive Behavioral Therapy (CBT), Reinforcement Techniques, Behavior Analysis"
Social Sciences,Psychology,3.5,Social Psychology,"Group Dynamics, Social Influence, Attitude Change, Interpersonal Relationships, Social Perception"
Social Sciences,Psychology,3.5,Development Psychology,"Developmental Stages, Child Development, Life Span Psychology, Attachment Theory, Aging and Cognitive Change"
Social Sciences,Sociology,3,Criminology,"Crime Theory, Criminal Behavior Analysis, Law Enforcement Practices, Criminal Justice System, Forensic Psychology"
Social Sciences,Sociology,3,Urban Sociology,"Urbanization Studies, Social Inequality, Housing and Homelessness, Community Development, Urban Policy"
Social Sciences,Sociology,3,Medical Sociology,"Health Disparities, Healthcare Systems, Sociological Theories of Health, Patient-Provider Interaction, Public Health Policy"
Social Sciences,Sociology,3,Environmental Sociology,"Environmental Movements, Sustainability, Human-Environment Interaction, Ecological Sociology, Climate Change Impact"
Social Sciences,Sociology,3,Education and Socialization,"Educational Systems, Socialization Processes, Peer Influence, Cultural Transmission, Social Norms and Values"
Social Sciences,Political Science,3,International Relations,"Diplomacy, Global Governance, Conflict Resolution, International Law, Foreign Policy Analysis"
Social Sciences,Political Science,3,Public Policy,"Policy Analysis, Public Administration, Government Regulations, Social Programs Design, Policy Evaluation"
Social Sciences,Political Science,3,Comparative Politics,"Political Systems Comparison, Electoral Systems, Political Parties and Movements, Governance Structures, Political Development"
Social Sciences,Political Science,3,Political Theory,"Political Philosophy, Ideology Analysis, Democratic Theory, Justice and Rights, Political Ethics"
Social Sciences,Political Science,3,Political Economy,"Economic Policy Analysis, Global Trade Systems, Economic Theories, Government and Market Interaction, Development Economics"
Social Sciences,Anthropology,3,Cultural Antrophology,"Ethnographic Research, Cultural Analysis, Fieldwork Techniques, Cross-Cultural Comparison, Cultural Relativism

"
Social Sciences,Anthropology,3,Biological Antrophology,"Human Evolution, Primatology, Genetics, Osteology, Forensic Anthropology"
Social Sciences,Anthropology,3,Archaeology,"Excavation Techniques, Artifact Analysis, Site Mapping, Archaeological Theory, Radiocarbon Dating"
Social Sciences,Anthropology,3,Linguistic Anthropology,"Language Analysis, Phonetics and Phonology, Syntax and Semantics, Sociolinguistics, Language Preservation"
Social Sciences,Anthropology,3,Applied Anthropology,"Community Development, Program Evaluation, Policy Advocacy, Public Health Research, Social Impact Assessment"
Business,Business Administration,3.5,Management,"Leadership, Decision Making, Team Building, Project Management, Conflict Resolution"
Business,Business Administration,3.5,Marketing,"Market Research, Brand Management, Digital Marketing, Consumer Behavior, Advertising Strategies"
Business,Business Administration,3.5,Operations,"Supply Chain Management, Process Optimization, Inventory Control, Quality Assurance, Workflow Efficiency"
Business,Business Administration,3.5,Strategy,"Strategic Planning, Competitive Analysis, Business Modeling, Risk Management, Market Positioning"
Business,Business Administration,3.5,Entrepreneurship,"Business Development, Innovation, Financial Planning, Opportunity Recognition, Fundraising and Investment"
Business,Finance,3.5,Corporate Finance,"Financial Analysis, Capital Budgeting, Financial Reporting, Cash Flow Management, Investment Appraisal"
Business,Finance,3.5,Investment Banking,"Valuation Techniques, Mergers and Acquisitions, Financial Modeling, Market Research, Deal Structuring

"
Business,Finance,3.5,Risk Management,"Risk Assessment, Risk Mitigation Strategies, Portfolio Management, Compliance, Financial Forecasting"
Business,Finance,3.5,Financial Planning,"Budgeting, Retirement Planning, Tax Planning, Investment Strategies, Cash Flow Management"
Business,Finance,3.5,Accounting,"Financial Reporting, Auditing, Taxation, Bookkeeping, Cost Accounting"
Business,Marketing,3,Digital Marketing,"SEO (Search Engine Optimization), PPC Campaigns, Content Marketing, Email Marketing, Data Analytics"
Business,Marketing,3,Consumer Behavior,"Market Segmentation, Consumer Decision Making, Behavioral Analysis, Customer Needs Assessment, Psychological Factors"
Business,Marketing,3,Brand Management,"Brand Strategy, Brand Positioning, Market Research, Brand Consistency, Customer Loyalty Programs"
Business,Marketing,3,Market Research,"Survey Design, Data Collection, Statistical Analysis, Market Trends Analysis, Focus Groups"
Business,Marketing,3,Social Media Marketing,"Content Creation, Social Media Strategy, Community Management, Paid Social Ads, Engagement Analytics"
Business,International Business,3.5,Global Supply Chain,"Logistics Management, Supply Chain Optimization, Inventory Management, Supplier Relationship Management, Risk Mitigation"
Business,International Business,3.5,Cross-Cultural Management,"Cultural Awareness, Conflict Resolution, International Team Leadership, Adaptability, Communication Styles"
Business,International Business,3.5,International Trade,"Trade Regulations, Export/Import Procedures, Global Trade Agreements, Tariffs and Duties, Supply Chain Management"
Business,International Business,3.5,International Marketing,"Global Market Research, Cross-Cultural Consumer Behavior, International Brand Management, Marketing Strategy, Localization"
Business,International Business,3.5,Global Finance,"Currency Exchange, International Investment, Global Risk Management, Foreign Market Analysis, Multinational Financial Reporting"
Natural Science,Physics,3.5,Quantum Mechanics,"Wave-Particle Duality, Quantum Superposition, Quantum Entanglement, Schrödinger Equation, Quantum Tunneling"
Natural Science,Physics,3.5,Thermodynamics,"Laws of Thermodynamics, Heat Transfer, Entropy, Energy Conversion, Thermodynamic Cycles"
Natural Science,Physics,3.5,Astrophysics,"Cosmology, Stellar Evolution, Black Holes, Gravitational Waves, Space Observation Techniques"
Natural Science,Physics,3.5,Solid-State physics,"Crystallography, Semiconductor Physics, Nanomaterials, Magnetic Properties, Band Theory"
Natural Science,Physics,3.5,Optics,"Light Propagation, Refraction and Reflection, Lenses and Mirrors, Laser Technology, Optical Instruments"
Natural Science,Chemistry,3.5,Organic Chemistry,"Functional Groups, Reaction Mechanisms, Stereochemistry, Synthesis Strategies, Spectroscopic Techniques"
Natural Science,Chemistry,3.5,Inorganic Chemistry,"Coordination Compounds, Chemical Bonding, Transition Metals, Crystal Field Theory, Molecular Orbitals"
Natural Science,Chemistry,3.5,Biochemistry,"Enzyme Kinetics, Protein Structure, Metabolic Pathways, DNA/RNA Structure, Cellular Signaling"
Natural Science,Chemistry,3.5,Analytical Chemistry,"Chromatography, Mass Spectrometry, Spectroscopy, Titration Methods, Analytical Instrumentation"
Natural Science,Chemistry,3.5,Physical Chemistry,"Thermodynamics, Chemical Kinetics, Quantum Chemistry, Statistical Mechanics, Electrochemistry"
Natural Science,Biology,3,Molecular Biology,"DNA/RNA Manipulation, PCR Techniques, Gel Electrophoresis, Cloning Methods, Protein Purification"
Natural Science,Biology,3,Ecology,"Ecosystem Dynamics, Biodiversity Assessment, Environmental Impact Studies, Conservation Strategies, Habitat Restoration"
Natural Science,Biology,3,Microbiology,"Microbial Culture Techniques, Pathogen Identification, Antibiotic Resistance, Laboratory Sterilization, Immunology"
Natural Science,Biology,3,Genetics,"Gene Expression, Genetic Mapping, CRISPR Technology, Mutation Analysis, Population Genetics"
Natural Science,Biology,3,Evolutionary biology,"Natural Selection, Phylogenetic Analysis, Evolutionary Theory, Adaptation Mechanisms, Speciation"
Natural Science,Environmental Science,3,Environmental Policy,"Regulatory Compliance, Environmental Impact Assessment, Sustainability Practices, Environmental Law, Policy Advocacy"
Natural Science,Environmental Science,3,Conservation Biology,"Biodiversity Conservation, Habitat Restoration, Species Protection, Ecosystem Management, Endangered Species Recovery"
Natural Science,Environmental Science,3,Environmental Chemistry,"Chemical Analysis of Pollutants, Water Quality Monitoring, Toxicology, Environmental Remediation, Green Chemistry"
Natural Science,Environmental Science,3,Climate Change,"Greenhouse Gas Emissions, Carbon Footprint Analysis, Climate Modeling, Renewable Energy Solutions, Climate Policy"
Natural Science,Environmental Science,3,Environmental Health,"Public Health Impact, Pollution Control, Waste Management, Occupational Health, Environmental Risk Assessment"
Natural Science,Geology,3,Paleontology,"Fossil Identification, Stratigraphy, Sedimentology, Paleobotany, Paleoecology"
Natural Science,Geology,3,Minerology,"Crystal Structure Analysis, Mineral Identification, X-ray Diffraction, Geological Mapping, Rock Formation"
Natural Science,Geology,3,Seismology,"Seismic Wave Propagation, Earthquake Analysis, Seismograph Operation, Fault Line Mapping, Data Interpretation"
Natural Science,Geology,3,Geophysics,"Geophysical Surveying, Gravity and Magnetic Methods, Subsurface Imaging, Data Analysis, Remote Sensing Techniques"
Natural Science,Geology,3,Hydrogeology,"Groundwater Flow, Aquifer Testing, Water Quality Monitoring, Hydrogeological Modeling, Well Design"
Agriculture,Agronomy,3,Soil Science,"Soil Fertility, Soil Classification, Soil Erosion Control, Soil Sampling, Nutrient Management"
Agriculture,Agronomy,3,Crop Production,"Crop Rotation, Agricultural Practices, Soil Fertility Management, Harvesting Techniques, Crop Disease Control"
Agriculture,Agronomy,3,Plant Breeding,"Genetic Modification, Hybridization Techniques, Seed Selection, Trait Selection, Plant Genetic Diversity"
Agriculture,Agronomy,3,Irrigation Management,"Water Use Efficiency, Irrigation Systems Design, Soil Moisture Monitoring, Irrigation Scheduling, Drainage Management"
Agriculture,Agronomy,3,Pest Management,"Integrated Pest Management (IPM), Pesticide Application, Biological Control Methods, Pest Identification, Pest Resistance Management"
Agriculture,Horticulture,3,Fruit and Vegetable Production,"Crop Management, Pest and Disease Control, Harvesting Techniques, Soil Management, Irrigation Practices"
Agriculture,Horticulture,3,Ornamental Horticulture,"Plant Selection, Landscape Design, Pest Control, Fertilization, Plant Care and Maintenance"
Agriculture,Horticulture,3,Greenhouse Management,"Climate Control, Crop Scheduling, Hydroponics, Pest Management, Environmental Monitoring"
Agriculture,Horticulture,3,Plant Propagtion,"Seed Germination, Cutting Techniques, Grafting, Tissue Culture, Rooting Hormones"
Agriculture,Horticulture,3,Landscape Design,"Site Analysis, Plant Selection, Hardscaping, Design Principles, Landscape Architecture Software"
Agriculture,Animal Science,3,Animal Nutrition,"Feed Formulation, Nutrient Requirements, Digestive Physiology, Feeding Systems, Nutritional Deficiencies"
Agriculture,Animal Science,3,Veterinary Science,"Animal Diagnosis, Surgical Techniques, Veterinary Pharmacology, Disease Prevention, Animal Care and Welfare"
Agriculture,Animal Science,3,Animal Breeding,"Genetic Selection, Reproductive Techniques, Breeding Programs, Genetic Diversity, Performance Evaluation"
Agriculture,Animal Science,3,Livestock Management,"Herd Health Management, Feed Management, Animal Housing, Breeding and Reproduction, Animal Welfare"
Agriculture,Animal Science,3,Animal Behavior,"Behavioral Observation, Training Techniques, Ethology, Animal Communication, Environmental Enrichment"
Agriculture,Agricultural Engineering,3.5,Farm Machinery,"Feed Formulation, Nutrient Requirements, Digestive Physiology, Feeding Systems, Nutritional Deficiencies"
Agriculture,Agricultural Engineering,3.5,Irrigation Systems,"Animal Diagnosis, Surgical Techniques, Veterinary Pharmacology, Disease Prevention, Animal Care and Welfare"
Agriculture,Agricultural Engineering,3.5,Renewable Energy in Agriculture,"Genetic Selection, Reproductive Techniques, Breeding Programs, Genetic Diversity, Performance Evaluation"
Agriculture,Agricultural Engineering,3.5,Soil Erosion Control,"Herd Health Management, Feed Management, Animal Housing, Breeding and Reproduction, Animal Welfare"
Agriculture,Agricultural Engineering,3.5,Agricultural Automation,"Behavioral Observation, Training Techniques, Ethology, Animal Communication, Environmental Enrichment"
Agriculture,Agriculture Economics,3,Farm Management,"Crop Planning, Budgeting and Financial Management, Risk Management, Resource Allocation, Farm Data Management"
Agriculture,Agriculture Economics,3,Rural Development,"Community Engagement, Infrastructure Development, Economic Development Strategies, Rural Education Programs, Sustainable Development"
Agriculture,Agriculture Economics,3,Agriculture Policy,"Agricultural Regulations, Policy Analysis, Farm Subsidies, Food Security, International Trade Agreements"
Agriculture,Agriculture Economics,3,Environmental Economics,"Cost-Benefit Analysis, Environmental Valuation, Sustainable Resource Management, Climate Change Economics, Pollution Control"
Agriculture,Agriculture Economics,3,Supply Chain Management,"Inventory Management, Procurement, Logistics Coordination, Demand Forecasting, Supplier Relationship Management"
Medicine,Medicine (MBBS),4,Anatomy,"Human Body Systems, Anatomical Terminology, Dissection Techniques, Organ Structure, Imaging Techniques (X-ray, MRI)"
Medicine,Medicine (MBBS),4,Physiology,"Body Function Mechanisms, Homeostasis, Hormonal Regulation, Cardiovascular Function, Nervous System Function"
Medicine,Medicine (MBBS),4,Pharmacology,"Drug Mechanisms, Pharmacokinetics, Drug Interactions, Clinical Drug Usage, Toxicology"
Medicine,Medicine (MBBS),4,Pathology,"Disease Mechanisms, Histopathology, Diagnostic Techniques, Cellular Injury, Pathological Changes"
Medicine,Medicine (MBBS),4,Surgery,"Surgical Techniques, Anesthesia, Sterilization Procedures, Post-operative Care, Surgical Instruments"
Medicine,Nursing,4,Pediatric Nursing,"Child Development, Pediatric Assessment, Immunization, Pediatric Pain Management, Pediatric Pharmacology"
Medicine,Nursing,4,Geriatic Nursing,"Elderly Care, Chronic Disease Management, Geriatric Assessment, Cognitive Disorders, Mobility Support"
Medicine,Nursing,4,Physiatric Nursing,"Mental Health Assessment, Therapeutic Communication, Psychiatric Medications, Crisis Intervention, Behavioral Therapy Techniques"
Medicine,Nursing,4,Community Health Nursing,"Health Education, Disease Prevention, Health Promotion, Public Health Assessment, Community Outreach Programs"
Medicine,Nursing,4,Critical Care Nursing,"Patient Monitoring, Life Support Systems, Acute Illness Management, Ventilator Management, Emergency Response"
Medicine,Pharmacy,3.5,Pharmaceutical Chemistry,"Chemical Synthesis, Drug Formulation, Analytical Chemistry, Molecular Pharmacology, Quality Control"
Medicine,Pharmacy,3.5,Pharmacology,"Drug Mechanisms, Pharmacokinetics, Drug Interactions, Therapeutic Drug Monitoring, Toxicology"
Medicine,Pharmacy,3.5,Pharmaceutical Technology,"Formulation Design, Drug Delivery Systems, Biopharmaceutics, Quality Assurance, Manufacturing Processes"
Medicine,Pharmacy,3.5,Clincal Pharmacy,"Patient Counseling, Drug Therapy Management, Medication Reconciliation, Clinical Trials, Pharmacovigilance"
Medicine,Pharmacy,3.5,Drug Development,"Preclinical Research, Clinical Trials, Regulatory Affairs, Pharmaceutical Research, Drug Testing and Safety"
Medicine,Dentistry,4,Oral Surgery,"Surgical Techniques, Tooth Extraction, Implant Placement, Jaw Surgery, Anesthesia Management"
Medicine,Dentistry,4,Periodontics,"Gum Disease Treatment, Scaling and Root Planing, Periodontal Surgery, Implant Maintenance, Tissue Regeneration"
Medicine,Dentistry,4,Orthodontics,"Braces Installation, Teeth Alignment, Orthodontic Adjustments, Malocclusion Treatment, Retainers"
Medicine,Dentistry,4,Prosthodontics,"Dental Implants, Dentures, Crowns and Bridges, Restorative Dentistry, Bite Reconstruction"
Medicine,Dentistry,4,Pediatric Dentistry,"Child Behavior Management, Pediatric Oral Health, Preventive Dentistry, Pediatric Restorative Procedures, Fluoride Treatments"
Medicine,Public Health,4,Epidemiology,"Data Analysis, Study Design, Risk Assessment, Surveillance Systems, Disease Outbreak Investigation"
Medicine,Public Health,4,Health Policy and Management,"Policy Analysis, Healthcare Administration, Strategic Planning, Health Economics, Program Evaluation"
Medicine,Public Health,4,Environmental Health,"Environmental Risk Assessment, Toxicology, Environmental Monitoring, Waste Management, Public Health Advocacy"
Medicine,Public Health,4,Global Health,"International Health Policy, Global Health Systems, Disease Prevention Strategies, Health Diplomacy, Cross-cultural Communication"
Medicine,Public Health,4,Biostatics,"Statistical Modeling, Data Visualization, Epidemiological Methods, Survival Analysis, Clinical Trials Analysis"
Services,Hospitality Mangament,3.5,Hotel Operators,"Customer Service, Revenue Management, Front Desk Operations, Housekeeping Management, Reservations Management"
Services,Hospitality Mangament,3.5,Event Planning,"Project Management, Budgeting, Vendor Coordination, Event Marketing, Logistics Management"
Services,Hospitality Mangament,3.5,Food and Beverage Management,"Menu Design, Cost Control, Staff Training, Inventory Management, Quality Control"
Services,Hospitality Mangament,3.5,Toursim Management,"Destination Marketing, Travel Planning, Customer Service, Tour Operations, Sustainable Tourism Practices"
Services,Hospitality Mangament,3.5,Luxury Brand Management,"Brand Strategy, Market Research, Product Development, Customer Relationship Management, Luxury Marketing"
Services,Culinary Arts,3,Pastry and Baking,"Cake Decorating, Pastry Techniques, Baking Science, Dessert Presentation, Dough Preparation"
Services,Culinary Arts,3,International Cuisine,"Culinary Techniques, Global Ingredients, Regional Recipes, Cultural Culinary Knowledge, Flavor Pairing"
Services,Culinary Arts,3,Food Safety,"HACCP Principles, Food Storage, Cross-contamination Prevention, Sanitation Practices, Food Handling Regulations"
Services,Culinary Arts,3,Menu Planning,"Menu Design, Portion Control, Nutritional Analysis, Seasonal Ingredient Selection, Cost Control"
Services,Culinary Arts,3,Restaurant Management,"Staff Management, Budgeting, Customer Service, Operational Efficiency, Inventory Control"
Services,Event Management,3,Coorporate Events,"Event Coordination, Client Relations, Budget Management, Vendor Negotiation, Event Logistics"
Services,Event Management,3,Wedding Planning,"Vendor Coordination, Budgeting, Timeline Management, Client Consultation, Design and Decor"
Services,Event Management,3,Festival Management,"Event Scheduling, Volunteer Management, Sponsorship Coordination, Crowd Control, Permitting and Licensing"
Services,Event Management,3,Event Marketing,"Social Media Promotion, Content Creation, Branding, Audience Engagement, Campaign Analytics"
Services,Event Management,3,Budgeting and Finance,"Financial Planning, Cost Estimation, Expense Tracking, Profit and Loss Analysis, Budget Forecasting"
Services,Travel and Tourism,3,Travel Agency Operations,"Customer service, sales, negotiation, itinerary planning, supplier relationship management"
Services,Travel and Tourism,3,Tour Guiding,"Public speaking, cultural knowledge, problem-solving, time management, group management"
Services,Travel and Tourism,3,Destination Management,"Marketing, project management, stakeholder collaboration, research, sustainability planning"
Services,Travel and Tourism,3,Sustainable Tourism,"Environmental awareness, resource management, community engagement, eco-friendly practices, impact assessment"
Services,Travel and Tourism,3,Cultural Tourism,"Cultural sensitivity, historical knowledge, storytelling, communication, preservation practices"
Services,Retail Management,3,Visual Merchandising,"Creative design, product display, color coordination, spatial awareness, trend analysis"
Services,Retail Management,3,Inventory Management,"Stock control, data analysis, forecasting, supply chain management, software proficiency"
Services,Retail Management,3,Customer Service,"Active listening, communication, problem-solving, conflict resolution, empathy"
Services,Retail Management,3,Retail Marketing,"Brand strategy, social media marketing, customer segmentation, promotional planning, market research"
Services,Retail Management,3,E-commerce Management,"Web design, SEO optimization, data analytics, digital marketing, customer experience management"
